Team,2,3,4,5,6,7
Abilene Christian,1.3,0.5,0.3,0.1,0.2,0.1
Arizona State,15.9,2.8,0.5,0.1,0.1,0.1
Auburn,78.3,38.9,5.7,2.4,1.8,0.7
Baylor,33.1,2.4,1,0.4,0.2,0.1
Belmont,18.1,4.9,0.4,0.1,0.1,0.1
Bradley,1.7,0.6,0.3,0.1,0.1,0.1
Buffalo,79.6,29.4,8.9,1.8,0.4,0.2
Cincinnati,61.1,12.2,4.2,1.3,0.4,0.2
Colgate,2.2,0.9,0.5,0.1,0.1,0.1
Duke,99.1,96.4,93.1,79.2,58.7,41.1
Prairie View,0.9,0.3,0.2,0.1,0.2,0.1
Florida,49.6,7,3.3,0.8,0.4,0.2
Florida State,87,57.3,17.9,7.8,1.6,0.6
Gardner-Webb,1.2,0.5,0.3,0.1,0.3,0.2
Georgia State,6.3,1.5,0.3,0.1,0.1,0.1
Gonzaga,97.1,84.6,67.5,44.7,13.3,7.7
Houston,89.1,57.1,19.5,6.5,2.4,0.8
Iona,1,0.4,0.2,0.1,0.3,0.1
Iowa,33.9,4.2,1.2,0.5,0.2,0.1
Iowa State,68.6,28.5,8.4,1.5,0.8,0.3
Kansas,88.9,50.3,8.6,3.8,2,0.8
Kansas State,78.8,42.4,8.6,3,0.8,0.3
Kentucky,95.2,85.2,63.6,22.6,13.1,5
Liberty,26.1,5.8,0.3,0.1,0.1,0.1
Louisville,65.4,10.1,4.4,0.6,0.5,0.2
Louisiana State,85.9,61,18.9,2.9,1.7,0.7
Marquette,58.7,24.7,4.4,1.6,0.5,0.2
Maryland,77.9,27.3,6,0.6,0.4,0.2
Michigan,95.8,78.4,58.2,28.8,6.5,3.2
Michigan State,96.5,84.6,67,13.5,9.1,4.4
Minnesota,31.1,2.5,0.8,0.2,0.2,0.1
Mississippi State,70.6,24.5,0.9,0.3,0.3,0.2
Montana,1.8,0.6,0.3,0.1,0.1,0.1
Murray State,37.3,12.3,1.9,0.7,0.4,0.2
North Dakota State,0.6,0.2,0.1,0.1,0.3,0.1
Nevada,46.3,11.2,4.7,1.4,0.4,0.2
New Mexico State,16.8,5.7,0.6,0.2,0.1,0.1
North Carolina,95.9,92.8,80.9,58.8,35.6,14.4
Northeastern,6.5,1.5,0.3,0.1,0.1,0.1
Northern Kentucky,4.8,1.5,0.3,0.1,0.1,0.1
Ohio State,26.4,9.2,1.8,0.6,0.3,0.2
Oklahoma,50.1,4.2,2.1,0.4,0.2,0.1
Old Dominion,8.9,1.7,0.4,0.1,0.1,0.1
Mississippi,44.5,2.4,0.9,0.2,0.2,0.1
Oregon,39.7,19,3.3,1.1,0.4,0.2
Purdue,86.6,43.7,16,6.7,2.1,0.7
Saint Louis,10.4,3.6,0.3,0.1,0.2,0.1
Saint Mary's (CA),16.4,5.2,1.1,0.3,0.2,0.1
Seton Hall,47.3,3.4,1.3,0.3,0.2,0.1
Syracuse,63,10,4.9,2.3,0.6,0.4
Tennessee,94.1,79.3,55.5,31.6,12.1,4.3
Texas Tech,91.7,63.1,21.9,7.9,1.9,0.8
UC-Irvine,16.4,5.3,0.8,0.3,0.2,0.1
Central Florida,52.7,1.1,0.6,0.2,0.2,0.1
Utah State,51.1,1.9,0.8,0.3,0.2,0.1
Virginia Commonwealth,43.8,0.9,0.3,0.1,0.2,0.1
Vermont,9.5,2.6,0.4,0.1,0.1,0.1
Villanova,78.9,45.7,18.8,7.9,2.1,0.7
Virginia,95.9,89.8,76,42.9,21.5,6.8
Virginia Tech,86.8,63.3,3.6,1.3,1,0.4
Washington,43.5,1.8,0.7,0.3,0.3,0.1
Wisconsin,55.6,29.5,5.8,1.9,0.8,0.3
Wofford,47.5,7.6,2.6,0.7,0.4,0.2
Yale,11.4,3.8,0.7,0.2,0.2,0.1
